Permit,Brand
PL/1000/EXP/ES/2015,Pemex
PL/10000/EXP/ES/2015,Pemex
PL/10001/EXP/ES/2015,Pemex
PL/10002/EXP/ES/2015,Pemex
PL/10003/EXP/ES/2015,Pemex
PL/10004/EXP/ES/2015,Pemex
PL/10005/EXP/ES/2015,Pemex
PL/10006/EXP/ES/2015,Pemex
PL/10007/EXP/ES/2015,Pemex
PL/10008/EXP/ES/2015,Pemex
PL/10009/EXP/ES/2015,Pemex
PL/1001/EXP/ES/2015,Pemex
PL/10010/EXP/ES/2015,Pemex
PL/10011/EXP/ES/2015,Pemex
PL/10012/EXP/ES/2015,Pemex
PL/10013/EXP/ES/2015,Pemex
PL/10014/EXP/ES/2015,Pemex
PL/10015/EXP/ES/2015,Pemex
PL/10016/EXP/ES/2015,Pemex
PL/10017/EXP/ES/2015,Pemex
PL/10018/EXP/ES/2015,Pemex
PL/10019/EXP/ES/2015,Pemex
PL/1002/EXP/ES/2015,Pemex
PL/10020/EXP/ES/2015,Oxxo Gas
PL/10021/EXP/ES/2015,Oxxo Gas
PL/10022/EXP/ES/2015,Pemex
PL/10023/EXP/ES/2015,Pemex
PL/10024/EXP/ES/2015,Pemex
PL/10025/EXP/ES/2015,Shell
PL/10026/EXP/ES/2015,Pemex
PL/10027/EXP/ES/2015,Pemex
PL/10028/EXP/ES/2015,Pemex
PL/10029/EXP/ES/2015,Pemex
PL/1003/EXP/ES/2015,Pemex
PL/10030/EXP/ES/2015,Pemex
PL/10031/EXP/ES/2015,Pemex
PL/10032/EXP/ES/2015,Pemex
PL/10033/EXP/ES/2015,Pemex
PL/10034/EXP/ES/2015,Pemex
PL/10035/EXP/ES/2015,Arco
PL/10036/EXP/ES/2015,Pemex
PL/10037/EXP/ES/2015,Pemex
PL/10038/EXP/ES/2015,Pemex
PL/10039/EXP/ES/2015,Pemex
PL/1004/EXP/ES/2015,Pemex
PL/10040/EXP/ES/2015,Pemex
PL/10041/EXP/ES/2015,Pemex
PL/10042/EXP/ES/2015,Pemex
PL/10043/EXP/ES/2015,Pemex
PL/10044/EXP/ES/2015,Pemex
PL/10045/EXP/ES/2015,Pemex
PL/10046/EXP/ES/2015,Pemex
PL/10047/EXP/ES/2015,Pemex
PL/10048/EXP/ES/2015,Pemex
PL/10049/EXP/ES/2015,Pemex
PL/1005/EXP/ES/2015,Pemex
PL/10050/EXP/ES/2015,Oxxo Gas
PL/10051/EXP/ES/2015,Pemex
PL/10052/EXP/ES/2015,Pemex
PL/10053/EXP/ES/2015,Pemex
PL/10054/EXP/ES/2015,Pemex
PL/10055/EXP/ES/2015,Pemex
PL/10056/EXP/ES/2015,Pemex
PL/10057/EXP/ES/2015,Pemex
PL/10058/EXP/ES/2015,Pemex
PL/10059/EXP/ES/2015,Pemex
PL/1006/EXP/ES/2015,Pemex
PL/10060/EXP/ES/2015,Pemex
PL/10061/EXP/ES/2015,Pemex
PL/10062/EXP/ES/2015,Pemex
PL/10063/EXP/ES/2015,Chevron
PL/10064/EXP/ES/2015,Pemex
PL/10065/EXP/ES/2015,Pemex
PL/10066/EXP/ES/2015,Pemex
PL/10067/EXP/ES/2015,Pemex
PL/10068/EXP/ES/2015,Pemex
PL/10069/EXP/ES/2015,Mobil
PL/1007/EXP/ES/2015,Pemex
PL/10070/EXP/ES/2015,Mobil
PL/10071/EXP/ES/2015,Mobil
PL/10072/EXP/ES/2015,Mobil
PL/10073/EXP/ES/2015,Mobil
PL/10074/EXP/ES/2015,Pemex
PL/10075/EXP/ES/2015,Pemex
PL/10076/EXP/ES/2015,BP
PL/10077/EXP/ES/2015,Pemex
PL/10078/EXP/ES/2015,Pemex
PL/10079/EXP/ES/2015,Pemex
PL/1008/EXP/ES/2015,Pemex
PL/10080/EXP/ES/2015,Pemex
PL/10081/EXP/ES/2015,Pemex
PL/10082/EXP/ES/2015,Pemex
PL/10083/EXP/ES/2015,Pemex
PL/10084/EXP/ES/2015,Pemex
PL/10085/EXP/ES/2015,Pemex
PL/10086/EXP/ES/2015,Arco
PL/10087/EXP/ES/2015,Pemex
PL/10088/EXP/ES/2015,Pemex
PL/10089/EXP/ES/2015,Pemex
PL/1009/EXP/ES/2015,Pemex
PL/10090/EXP/ES/2015,Pemex
PL/10091/EXP/ES/2015,Pemex
PL/10092/EXP/ES/2015,Pemex
PL/10093/EXP/ES/2015,Mobil
PL/10094/EXP/ES/2015,Mobil
PL/10095/EXP/ES/2015,Pemex
PL/10096/EXP/ES/2015,Pemex
PL/10097/EXP/ES/2015,Pemex
PL/10098/EXP/ES/2015,Pemex
PL/10099/EXP/ES/2015,Pemex
PL/1010/EXP/ES/2015,Pemex
PL/10100/EXP/ES/2015,Pemex
PL/10101/EXP/ES/2015,Pemex
PL/10102/EXP/ES/2015,Pemex
PL/10103/EXP/ES/2015,Pemex
PL/10104/EXP/ES/2015,Pemex
PL/10105/EXP/ES/2015,Pemex
PL/10106/EXP/ES/2015,Pemex
PL/10107/EXP/ES/2015,Pemex
PL/10108/EXP/ES/2015,Pemex
PL/10109/EXP/ES/2015,Pemex
PL/1011/EXP/ES/2015,G500
PL/10110/EXP/ES/2015,Pemex
PL/10111/EXP/ES/2015,Pemex
PL/10112/EXP/ES/2015,Pemex
PL/10113/EXP/ES/2015,Arco
PL/10114/EXP/ES/2015,Pemex
PL/10115/EXP/ES/2015,Pemex
PL/10116/EXP/ES/2015,Pemex
PL/10117/EXP/ES/2015,Pemex
PL/10118/EXP/ES/2015,Pemex
PL/10119/EXP/ES/2015,Pemex
PL/1012/EXP/ES/2015,Pemex
PL/10120/EXP/ES/2015,Pemex
PL/10121/EXP/ES/2015,Pemex
PL/10122/EXP/ES/2015,Arco
PL/10123/EXP/ES/2015,Pemex
PL/10124/EXP/ES/2015,Pemex
PL/10125/EXP/ES/2015,Arco
PL/10126/EXP/ES/2015,Pemex
PL/10127/EXP/ES/2015,Pemex
PL/10128/EXP/ES/2015,Pemex
PL/10129/EXP/ES/2015,Pemex
PL/1013/EXP/ES/2015,G500
PL/10130/EXP/ES/2015,Pemex
PL/10131/EXP/ES/2015,Pemex
PL/10132/EXP/ES/2015,Pemex
PL/10133/EXP/ES/2015,Pemex
PL/10134/EXP/ES/2015,Pemex
PL/10135/EXP/ES/2015,Total
PL/10136/EXP/ES/2015,Pemex
PL/10137/EXP/ES/2015,Pemex
PL/10138/EXP/ES/2015,Pemex
PL/10139/EXP/ES/2015,Pemex
PL/1014/EXP/ES/2015,Repsol
PL/10140/EXP/ES/2015,Pemex
PL/10141/EXP/ES/2015,Pemex
PL/10142/EXP/ES/2015,Pemex
PL/10143/EXP/ES/2015,Pemex
PL/10144/EXP/ES/2015,Pemex
PL/10145/EXP/ES/2015,Repsol
PL/10146/EXP/ES/2015,Pemex
PL/10147/EXP/ES/2015,Pemex
PL/10148/EXP/ES/2015,Pemex
PL/10149/EXP/ES/2015,BP
PL/1015/EXP/ES/2015,G500
PL/10150/EXP/ES/2015,Pemex
PL/10151/EXP/ES/2015,Pemex
PL/10152/EXP/ES/2015,Pemex
PL/10153/EXP/ES/2015,Pemex
PL/10154/EXP/ES/2015,Pemex
PL/10155/EXP/ES/2015,BP
PL/10156/EXP/ES/2015,Pemex
PL/10157/EXP/ES/2015,Pemex
PL/10158/EXP/ES/2015,Pemex
PL/10159/EXP/ES/2015,Pemex
PL/1016/EXP/ES/2015,Pemex
PL/10160/EXP/ES/2015,Pemex
PL/10161/EXP/ES/2015,Pemex
PL/10162/EXP/ES/2015,Pemex
PL/10163/EXP/ES/2015,Repsol
PL/10164/EXP/ES/2015,Pemex
PL/10165/EXP/ES/2015,Pemex
PL/10166/EXP/ES/2015,Pemex
PL/10167/EXP/ES/2015,Pemex
PL/10168/EXP/ES/2015,Pemex
PL/10169/EXP/ES/2015,Pemex
PL/1017/EXP/ES/2015,Pemex
PL/10170/EXP/ES/2015,Pemex
