,Numero,Direccion,EntidadFederativaId,MunicipioId,Nombre,Apoyo 2
0,PL/1000/EXP/ES/2015,Calle Norte 180 No. 574,Ciudad de México,Venustiano Carranza,"Estación de Servicio Nuevo Milenio, S.A. de C.V.",1000
3,PL/10000/EXP/ES/2015,Boulevard Aeropuerto No. 312,Guanajuato,León,SERVICIO DELTA SA DE CV,10000
6,PL/10001/EXP/ES/2015,Boulevard Juan Alonso de Torres No. 421,Guanajuato,León,SERVICIO  LAS TORRES NORTE SA DE CV,10001
8,PL/10002/EXP/ES/2015,Calzada de Las Torres Lt.S 13 Y 9,Veracruz de Ignacio de la Llave,Medellín de Bravo,"OPERADORA HB, S.A. DE C.V.",10002
11,PL/10003/EXP/ES/2015,Km 1 + 400 Lado Izaquierdo Tramo Ramal-Anton Lizardo,Veracruz de Ignacio de la Llave,Alvarado,"OPERADORA HB, S.A. DE C.V.",10003
14,PL/10004/EXP/ES/2015,Juárez No. 101,Guanajuato,León,OPERADORA JOSFA SA DE CV,10004
16,PL/10005/EXP/ES/2015,5 de Mayo No. 172,Veracruz de Ignacio de la Llave,Jalacingo,GASOIL TECNOLOGIAS SAPI DE CV,10005
19,PL/10006/EXP/ES/2015,Avenida Rafael Cuervo 1450 Esquina Costa de Marfil,Veracruz de Ignacio de la Llave,Veracruz,GASOIL TECNOLOGIAS SAPI DE CV,10006
22,PL/10007/EXP/ES/2015,Prolongación de La Calle 5 Norte No. 616,Veracruz de Ignacio de la Llave,Fortín,ICVER SA DE CV,10007
25,PL/10008/EXP/ES/2015,Boulevard Díaz Ordaz No. 182,Chiapas,Tapachula,"HIDROSINA PLUS, S.A.P.I. DE C.V.",10008
27,PL/10009/EXP/ES/2015,Crucero Cuatro Caminos S/N. Carretera Lisa Atentique,Jalisco,Tuxpan,"GRUPO OCTANO, S.A. DE C.V.",10009
30,PL/1001/EXP/ES/2015,Boulevard Insurgentes S/N,México,Ecatepec de Morelos,"Estación de Servicio Andalucía, S.A. de C.V.",1001
33,PL/10010/EXP/ES/2015,Km 12 Carretera Atenquique Tamazula,Jalisco,Tuxpan,"GRUPO OCTANO, S.A. DE C.V.",10010
36,PL/10011/EXP/ES/2015,Avenida Francisco I. Madero Con Poniente 5 S/N,Tamaulipas,Río Bravo,"ESTACIONES GARE, SA DE CV",10011
37,PL/10012/EXP/ES/2015,Prolongación Juárez S/N,Guanajuato,Jaral del Progreso,MARTHA PATRICIA VARGAS VEGA,10012
40,PL/10014/EXP/ES/2015,Carretera Federal 307 Km 250 Mz. 27 Lt. 14,Quintana Roo,Tulum,"HOYO TRES, S.A. DE C.V.",10014
43,PL/10015/EXP/ES/2015,Oriente 5 No. 101 Esquina Eje Norte-Sur,Guanajuato,Celaya,servicios diversos del centro SA de CV,10015
46,PL/10017/EXP/ES/2015,Carretera Huimanguillo Raudales Km 25.5,Tabasco,Huimanguillo,"SERVICIO PEDREGAL DEL GOLFO, S.A. DE C.V.",10017
49,PL/10018/EXP/ES/2015,Carretera Fed. Teziutlán-Zaragoza Km 3,Puebla,Chignautla,"Super Servicio Chignautla, S.A. de C.V.",10018
52,PL/10019/EXP/ES/2015,Francisco I. Madero Poniente No. 9570,Michoacán de Ocampo,Morelia,"SERVICIO STA EUGENIA, S.A. DE C.V.",10019
55,PL/1002/EXP/ES/2015,Avenida Tláhuac No. 5243,Ciudad de México,Tláhuac,"Servicio Cipreses, S.A. de C.V.",1002
58,PL/10020/EXP/ES/2015,Carretera Monterrey - Nuevo Laredo No. 8455,Tamaulipas,Nuevo Laredo,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",10020
61,PL/10021/EXP/ES/2015,Boulevard Miguel de La Madrid No. 3900,Nuevo León,Guadalupe,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",10021
64,PL/10022/EXP/ES/2015,Carretera Federal Chilpancingo-Tlapa Km 55,Guerrero,Chilapa de Álvarez,SERVICIO MONTAÑAS DEL SUR S.A DE C.V. ,10022
67,PL/10023/EXP/ES/2015,Carretera Chilapa-Acatlán Km 1,Guerrero,Chilapa de Álvarez,SERVICIO MONTAÑAS DEL SUR S.A DE C.V. ,10023
69,PL/10024/EXP/ES/2015,Carretera Nacional Acapulco - Pinotepa Nacional Km 28.6,Guerrero,Acapulco de Juárez,SERVICIO MONTAÑAS DEL SUR S.A DE C.V. ,10024
72,PL/10025/EXP/ES/2015,Avenida México-Puebla No. 1710,Puebla,Cuautlancingo,SINERGIA DE ENERGETICOS S.A. DE C.V. ,10025
75,PL/10026/EXP/ES/2015,Carretera Al Ledon Km 32,Baja California,Mexicali,"ESTACION DE SERVICIOS EL CAPITAN, SA DE CV ",10026
76,PL/10027/EXP/ES/2015,Calle Granada Y Avenida Sevilla N0. 2269,Baja California,Mexicali,"ESTACIONES MEXSON, S.A. DE C.V.",10027
78,PL/10028/EXP/ES/2015,Avenida Miguel Aleman No. 970,Veracruz de Ignacio de la Llave,Ignacio de la Llave,"ESTACIÓN DE SERVICIOS LA MIXTEQUILLA, S.A. DE C.V.",10028
81,PL/10029/EXP/ES/2015,Autopista Piramides-Tulancingo Norte No. 261,Hidalgo,Singuilucan,JORGE GUTIERREZ JIMENEZ,10029
84,PL/1003/EXP/ES/2015,Libramiento Corretero Arandas - Manuel Doblado Km 3,Jalisco,Arandas,"GASOLINERA GUADALAJARA, S.A. DE C.V.",1003
87,PL/10030/EXP/ES/2015,Autopista México-Acapulco Km 85.5,Morelos,Cuernavaca,SERVICIOS GASOLINEROS SAN CARLOS SA DE CV,10030
90,PL/10031/EXP/ES/2015,Ildefonso Fuentes No. 100,Coahuila de Zaragoza,Monclova,AUTO GAS DE MONCLOVA SA DE CV,10031
92,PL/10032/EXP/ES/2015,Carretera Federal Tlapa-Tecomatlán Km 38,Guerrero,Huamuxtitlán,DANAE ALCESTES LAVINIA CORDOVA MORAN,10032
95,PL/10033/EXP/ES/2015,Carretera 82 Y Brecha 122,Tamaulipas,Valle Hermoso,SALVADOR TANOS KURI,10033
98,PL/10034/EXP/ES/2015,Calzada Lázaro Cárdenas No. 1738,Baja California,Mexicali,"ESTACION DE SERVICIOS EL CAPITAN, SA DE CV ",10034
100,PL/10035/EXP/ES/2015,Avenida Sonora Y Calle Gral Anaya,Sonora,Santa Ana,MIGUEL ANGEL TERAN PARRA,10035
103,PL/10036/EXP/ES/2015,Calle 22 No. 381,Yucatán,Conkal,Servicio San Jose Kuche SA de CV,10036
106,PL/10037/EXP/ES/2015,Molinero No. 101,Nuevo León,Santiago,GAS NUEVO MILENIO S.A. DE C.V.,10037
108,PL/10038/EXP/ES/2015,Avenida Norberto López Avelar No. 12,Morelos,Tetela del Volcán,"MAYRA Y GISSEL, S.A. DE C.V.",10038
111,PL/10039/EXP/ES/2015,Carretera Tuxpan-Tampico Km 142+269.5,Veracruz de Ignacio de la Llave,Ozuluama de Mascareñas,EDARSI S.A. de C.V.,10039
114,PL/1004/EXP/ES/2015,Avenida Ruíz Cortinez Esquina 1ro. de Mayo S/N,México,Ecatepec de Morelos,"Servicio los Andes, S.A. de C.V.",1004
117,PL/10040/EXP/ES/2015,16 de Septiembre E Ignacio Zaragoza Lt.1,Veracruz de Ignacio de la Llave,Chinameca,JOSE BENJAMIN FRAGOSO LUNA,10040
120,PL/10041/EXP/ES/2015,La Vaqueria No. 3,Veracruz de Ignacio de la Llave,Teocelo,NANCY MARTINEZ GONZALEZ,10041
123,PL/10042/EXP/ES/2015,Km 10 Carretera San Martin-El Verde,Puebla,San Salvador el Verde,SERVICIO SAN SALVADOR SA DE CV,10042
125,PL/10043/EXP/ES/2015,Carretera Cordoba-Cardel Tramo Fortin-Conejos Km 19+787,Veracruz de Ignacio de la Llave,Coscomatepec,"SESGAS, S.A. DE C.V. ",10043
128,PL/10045/EXP/ES/2015,Km 2 Carretera a Yuriria Cerano,Guanajuato,Yuriria,SERVICIO CERANO SA DE CV,10045
131,PL/10046/EXP/ES/2015,Calle Hidalgo 86,Durango,Topia,SERVICIO TOPIA SA DE CV,10046
133,PL/10047/EXP/ES/2015,Avenida Emiliano Zapata No. 121,Morelos,Jiutepec,"SERVICIO PAR VIAL, S.A. DE C.V.",10047
136,PL/10048/EXP/ES/2015,Calle 60 No. 338 J X 58 a Y 27,Yucatán,Mérida,SERVICIO GLORIETA SAN FERNANDO S.A. DE C.V.,10048
138,PL/10049/EXP/ES/2015,Boulevard Cuautla V. de Ayala S/N,Morelos,Ayala,"HORIZONTE ENERGETICO, S.A. DE C.V.",10049
141,PL/1005/EXP/ES/2015,Anenecuilco No. 202,Guanajuato,Celaya,SERVICIO IRRIGACION SA DE CV,1005
143,PL/10050/EXP/ES/2015,Avenida America No. 1194,Guanajuato,Moroleón,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",10050
146,PL/10051/EXP/ES/2015,Avenida Lomas del Valle 430 Local 1-7,Nuevo León,San Pedro Garza García,SERVI BENZIN SA DE CV,10051
149,PL/10052/EXP/ES/2015,Eugenio Aguirre Benavides S/N,Tamaulipas,Nuevo Laredo,ES SAN GABRIEL S.A. DE C.V.,10052
152,PL/10053/EXP/ES/2015,Nuevo México S/N,México,Tecámac,"OPERADORA DE COMBUSTIBLE XOLOX, S.A DE C.V.",10053
155,PL/10054/EXP/ES/2015,Galeana No. 32,México,Villa Guerrero,"""SERVICIO GUIPOLLALI SA DE CV""",10054
157,PL/10055/EXP/ES/2015,Prolongación Constitución S/N,Zacatecas,Juan Aldama,"GRUPO ALDAMA, S.A. DE C.V.",10055
160,PL/10056/EXP/ES/2015,Calle Altamirano No. 108,Zacatecas,Juan Aldama,CARLOS MORALES PEREZ,10056
163,PL/10057/EXP/ES/2015,Libramiento 330 Sur Entre Nicolas Bravo Y Leona Vicario,Durango,Cuencamé,CARLOS MORALES PEREZ,10057
166,PL/10058/EXP/ES/2015,Avenida Nezahualcoyotl No. 157,Colima,Armería,KEYAPAAL SA DE CV,10058
169,PL/10059/EXP/ES/2015,Boulevard Oscar Flores Norte No. 514,Chihuahua,Delicias,SERVICIO SYC SA DE CV,10059
172,PL/1006/EXP/ES/2015,Avenida 16 de Septiembre No. 60,México,Naucalpan de Juárez,"Grupo Macruz, S.A. de C.V.",1006
175,PL/10060/EXP/ES/2015,Carretera Transpeninsula Km 36+400 San José del Cabo,Baja California Sur,Los Cabos,"PETROLEOS Y COMBUSTIBLES DEL CABO, SA. DE CV.",10060
178,PL/10061/EXP/ES/2015,Km 4.5 Carretera Santa Rosa-La Barca No. 1515,Jalisco,Ixtlahuacán de los Membrillos,SERVIECOLOGICOS SA DE CV,10061
181,PL/10062/EXP/ES/2015,Prolongación Calle Zaragoza S/N.,Baja California Sur,Los Cabos,"PETROLEOS Y COMBUSTIBLES DEL CABO, SA. DE CV.",10062
184,PL/10063/EXP/ES/2015,Carretera a San Felipe No. 199,Baja California,Mexicali,"ESTACION LA VICTORIA, S.A. DE C.V.",10063
187,PL/10064/EXP/ES/2015,Carretera Jilotzingo Tizayuca Km 1,México,Hueypoxtla,ESTACION DE SERVICIO JILOTZINGO S.A. DE C.V.,10064
190,PL/10065/EXP/ES/2015,Carretera Federal Jorobas Tula Km 10,Hidalgo,Atotonilco de Tula,QUMAR GASOLINERA S.A. DE C.V.,10065
193,PL/10066/EXP/ES/2015,Calle Segunda Benito Juárez No. 199,Baja California,Tijuana,SERVICIO YAGUES S DE RL ,10066
